date,apple_search_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,0.0
2024-11-11,0.0
2024-11-18,0.0
2024-11-25,0.0
2024-12-02,0.0
2024-12-09,5411.8818
2024-12-16,45792.2259
2024-12-23,49710.681
2024-12-30,46014.1006
2025-01-06,47458.9131
2025-01-13,42200.7124
2025-01-20,46956.773
2025-01-27,45969.248
2025-02-03,45960.0461
2025-02-10,46450.3778
2025-02-17,36868.4352
2025-02-24,57738.544200000004
2025-03-03,57503.6391
2025-03-10,61224.291600000004
2025-03-17,54946.524300000005
2025-03-24,56652.181599999996
2025-03-31,45833.5491
2025-04-07,51100.1448
2025-04-14,60737.1497
2025-04-21,67938.6599
2025-04-28,74156.2101
2025-05-05,73158.4383
2025-05-12,74644.9319
2025-05-19,74930.5559
2025-05-26,67340.2329
2025-06-02,80116.9106
2025-06-09,75336.0436
2025-06-16,68433.8503
2025-06-23,61156.8754
2025-06-30,58392.275
2025-07-07,68675.8754
2025-07-14,77691.4484
2025-07-21,71248.8451
2025-07-28,87372.9627
2025-08-04,77012.0846
2025-08-11,80719.6343
2025-08-18,80782.2149
2025-08-25,81958.19
2025-09-01,67060.7751
2025-09-08,55286.084
2025-09-15,61530.5173
2025-09-22,57494.9867
2025-09-29,51992.7776
2025-10-06,54302.591100000005
2025-10-13,55218.3519
2025-10-20,57867.255099999995
2025-10-27,56372.822199999995
2025-11-03,61788.1227
2025-11-10,63342.4014
2025-11-17,59951.0089
2025-11-24,60108.4452
2025-12-01,55711.0671
2025-12-08,57837.3984
2025-12-15,55929.8968
2025-12-22,51669.6785
2025-12-29,44234.446
2026-01-05,50765.7987
2026-01-12,53440.835
2026-01-19,56088.964400000004
2026-01-26,49426.029800000004
2026-02-02,50889.285
2026-02-09,53297.269700000004
2026-02-16,56518.3759
2026-02-23,65334.8179
2026-03-02,74289.8729
2026-03-09,66990.0651
2026-03-16,63220.9801
2026-03-23,56591.2033
2026-03-30,71569.70420000001
