date,applovin_android_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,2008.483216
2024-11-11,19077.77867
2024-11-18,30000.303568
2024-11-25,46512.290304
2024-12-02,50707.798295
2024-12-09,70211.59796099999
2024-12-16,84205.734303
2024-12-23,83168.626796
2024-12-30,93433.01852700001
2025-01-06,81294.408077
2025-01-13,63024.672598
2025-01-20,40775.602253
2025-01-27,34183.428845
2025-02-03,28155.430548
2025-02-10,31049.004130999998
2025-02-17,31559.909035999997
2025-02-24,20291.745216
2025-03-03,19972.79281
2025-03-10,23039.850935000002
2025-03-17,24525.931229
2025-03-24,24546.64373
2025-03-31,26060.196632
2025-04-07,40396.072462000004
2025-04-14,35918.051184
2025-04-21,17559.661951
2025-04-28,17452.385873
2025-05-05,6434.458218
2025-05-12,2972.297339
2025-05-19,9961.765825
2025-05-26,10210.624507
2025-06-02,22375.379186000002
2025-06-09,28121.78663
2025-06-16,28035.993449
2025-06-23,27958.081426
2025-06-30,19359.330025
2025-07-07,19335.627533
2025-07-14,16786.571045
2025-07-21,8547.744486
2025-07-28,8388.754183000001
2025-08-04,8540.987509999999
2025-08-11,10073.556403
2025-08-18,10052.378398
2025-08-25,10167.254647
2025-09-01,10129.992710999999
2025-09-08,10166.526994
2025-09-15,10185.009993
2025-09-22,10141.964719
2025-09-29,11925.304974
2025-10-06,14283.448585
2025-10-13,20212.167859
2025-10-20,21747.272596
2025-10-27,24152.967898
2025-11-03,26100.989933
2025-11-10,31961.744107
2025-11-17,38548.90116
2025-11-24,42526.511836
2025-12-01,46547.98295
2025-12-08,52705.571576
2025-12-15,53673.329451
2025-12-22,59745.489453999995
2025-12-29,59538.234608
2026-01-05,57636.754367
2026-01-12,29413.11707
2026-01-19,50279.473925
2026-01-26,52928.860186
2026-02-02,57625.343298
2026-02-09,59490.763872
2026-02-16,59577.602066
2026-02-23,59984.74661
2026-03-02,71964.321217
2026-03-09,52558.87073
2026-03-16,62649.74922
2026-03-23,71317.243187
2026-03-30,71237.010492
