date,mean,lo95,hi95
2024-07-01,1738.6059079185854,692.3715472447369,2839.355477878941
2024-07-08,12955.425437883632,5458.339768023503,20853.998728094666
2024-07-15,15128.118491538587,7923.427814883298,22587.735685137854
2024-07-22,21809.48194155217,11747.718939031205,32497.9591359356
2024-07-29,28259.255718731547,15681.620578433396,41636.69654939949
2024-08-05,30397.372502892973,17649.181439170567,44028.12414658957
2024-08-12,37274.76794770066,21604.441493787286,54200.57603126761
2024-08-19,37943.30799998234,22397.276674960864,54470.151016829586
2024-08-26,55508.17606044376,31479.844633734156,81169.85783863801
2024-09-02,59429.13510554318,34792.09128576456,85744.10866422496
2024-09-09,80510.95601245973,46047.394556452775,117084.03595636488
2024-09-16,81978.86141137219,48148.66377949344,117701.44698745375
2024-09-23,82576.13199181939,48953.95642602845,118047.1663516022
2024-09-30,82816.31461703179,49405.42648212747,118085.53657723487
2024-10-07,83395.69253920965,50003.713975713305,118758.48072602095
2024-10-14,84663.37674385768,50794.258330448974,120501.58462177563
2024-10-21,96352.6262034841,56706.32104478203,137707.00351320114
2024-10-28,99456.18520702305,58860.75867181471,141710.69727457687
2024-11-04,93008.76917088217,55524.46240552804,132280.9138435097
2024-11-11,97717.86060508908,58262.34774316616,139463.08699937398
2024-11-18,98179.24003148878,58740.27150522748,139745.70913359997
2024-11-25,98880.69368712477,59157.06902554802,140692.55032192462
2024-12-02,99164.08577336255,59344.418721085196,141030.87359684033
2024-12-09,95639.26521219751,57201.265906144436,136113.02923796882
2024-12-16,75154.08242712104,44158.31050296037,109535.12542897482
2024-12-23,70857.11210597068,41673.64047403736,102655.05244543657
2024-12-30,69463.50181410799,41091.272219791594,99753.36430831136
2025-01-06,69565.78729885072,41414.42043144288,99391.32348680275
2025-01-13,86157.62707059046,50428.41717797238,123298.15181538962
2025-01-20,106818.58676399557,62029.658743398715,153654.46122769505
2025-01-27,109695.88289024559,64742.09833376255,156907.8410221913
2025-02-03,110004.57360018276,65241.041477518425,156824.34429016695
2025-02-10,85601.23361324792,50543.58895221304,123256.448860971
2025-02-17,67879.86450178348,39454.80016044197,101368.4971177294
2025-02-24,64245.395286155595,37590.662337280184,93545.44850138373
2025-03-03,64488.26188133383,38091.66734219532,92845.03557523999
2025-03-10,62886.86554479774,37254.75095383168,90296.88768375778
2025-03-17,62944.67624929964,37467.456138349364,89925.6615163061
2025-03-24,63235.4836625453,37691.40088086798,90137.07868875802
2025-03-31,64635.93825637499,38446.15650835529,92237.5961919025
2025-04-07,63009.70482127656,37487.9111776314,89938.02173006581
2025-04-14,62903.27895958429,37449.763154722736,89681.99477756537
2025-04-21,62895.08687569591,37472.25909095761,89676.48262532732
2025-04-28,64086.936028748176,38182.940345869625,91430.74985639112
2025-05-05,64166.674729709084,38228.34632210982,91594.68480019472
2025-05-12,64388.009256165344,38355.137264725134,91893.72966043274
2025-05-19,64692.52905533606,38546.02554609189,92308.02995181816
2025-05-26,59008.94901236025,35077.27302124927,84573.82089138484
2025-06-02,75630.58652715977,44108.29956291521,108581.14672336933
