date,google_android_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,0.0
2024-11-11,0.0
2024-11-18,0.0
2024-11-25,0.0
2024-12-02,0.0
2024-12-09,43065.721835000004
2024-12-16,55484.767259
2024-12-23,51041.351752
2024-12-30,45547.489356
2025-01-06,100283.224205
2025-01-13,81847.84171400001
2025-01-20,88586.661175
2025-01-27,90942.527104
2025-02-03,107997.00193
2025-02-10,149742.842582
2025-02-17,149883.835571
2025-02-24,150062.863028
2025-03-03,171320.630304
2025-03-10,203908.007836
2025-03-17,169440.93659599999
2025-03-24,152538.255544
2025-03-31,149874.890236
2025-04-07,214367.716538
2025-04-14,217480.125378
2025-04-21,180044.918511
2025-04-28,163568.58034
2025-05-05,160409.212286
2025-05-12,113301.33807299999
2025-05-19,119115.727883
2025-05-26,117195.07451
2025-06-02,126173.576098
2025-06-09,188571.019377
2025-06-16,191795.57737
2025-06-23,180196.770328
2025-06-30,125376.385219
2025-07-07,155649.309581
2025-07-14,160455.519042
2025-07-21,149285.384916
2025-07-28,167000.254906
2025-08-04,139638.185803
2025-08-11,177184.608402
2025-08-18,187161.90349
2025-08-25,179478.384689
2025-09-01,172720.66939
2025-09-08,171045.887697
2025-09-15,161988.863246
2025-09-22,146412.843461
2025-09-29,147192.350805
2025-10-06,154642.933999
2025-10-13,164419.25184799999
2025-10-20,220958.300759
2025-10-27,193866.723791
2025-11-03,164202.358275
2025-11-10,175342.98321
2025-11-17,155198.09023
2025-11-24,178237.769129
2025-12-01,151643.618657
2025-12-08,158420.061434
2025-12-15,151224.604434
2025-12-22,139866.00505100001
2025-12-29,121206.915955
2026-01-05,129846.60118700001
2026-01-12,131211.120671
2026-01-19,127452.742482
2026-01-26,127783.731829
2026-02-02,121445.94695900001
2026-02-09,126505.578269
2026-02-16,106588.419018
2026-02-23,112005.881422
2026-03-02,126071.842844
2026-03-09,125650.719701
2026-03-16,131112.538264
2026-03-23,123627.854882
2026-03-30,132286.908444
