date,linear_tv_spend
2024-07-01,4593.83
2024-07-08,32709.23
2024-07-15,32479.0
2024-07-22,33376.82
2024-07-29,36205.43
2024-08-05,38153.53
2024-08-12,36599.08
2024-08-19,34498.64
2024-08-26,33815.95
2024-09-02,34323.6
2024-09-09,34760.12
2024-09-16,32244.36
2024-09-23,31683.82
2024-09-30,33741.66
2024-10-07,41138.25
2024-10-14,42163.19
2024-10-21,38196.81
2024-10-28,40956.74
2024-11-04,38952.6
2024-11-11,39527.26
2024-11-18,35641.55
2024-11-25,37905.41
2024-12-02,35534.65
2024-12-09,34772.52
2024-12-16,33398.76
2024-12-23,29945.58
2024-12-30,35083.83
2025-01-06,32924.13
2025-01-13,24688.34
2025-01-20,26197.510000000002
2025-01-27,26721.95
2025-02-03,26862.52
2025-02-10,26005.51
2025-02-17,20377.7
2025-02-24,60049.1
2025-03-03,43788.6
2025-03-10,51913.75
2025-03-17,42836.6
2025-03-24,35199.35
2025-03-31,56698.4
2025-04-07,47578.75
2025-04-14,40817.0
2025-04-21,75172.3
2025-04-28,98943.4
2025-05-05,94420.54999999999
2025-05-12,94342.34999999999
2025-05-19,85568.65
2025-05-26,71548.75
2025-06-02,121349.4
2025-06-09,96699.4
2025-06-16,111463.05
2025-06-23,94197.0
2025-06-30,91923.25
2025-07-07,65408.35
2025-07-14,97726.2
2025-07-21,81102.75
2025-07-28,88022.6
2025-08-04,83544.8
2025-08-11,49489.55
2025-08-18,52037.0
2025-08-25,89509.25
2025-09-01,72183.7
2025-09-08,94032.95
2025-09-15,100742.85
2025-09-22,93973.45
2025-09-29,91308.7
2025-10-06,79829.45
2025-10-13,74320.6
2025-10-20,92296.4
2025-10-27,97343.7
2025-11-03,91023.95
2025-11-10,88715.35
2025-11-17,82291.9
2025-11-24,121491.35
2025-12-01,84700.8
2025-12-08,97761.9
2025-12-15,124893.05
2025-12-22,116064.95
2025-12-29,76816.20000000001
2026-01-05,81634.0
2026-01-12,110232.25
2026-01-19,122252.1
2026-01-26,120774.8
2026-02-02,114669.25
2026-02-09,100615.35
2026-02-16,95255.25
2026-02-23,109185.9
2026-03-02,97605.5
2026-03-09,118988.95000000001
2026-03-16,114474.6
2026-03-23,115367.1
2026-03-30,152792.6
