date,mean,lo95,hi95
2024-07-01,0.0,0.0,0.0
2024-07-08,0.0,0.0,0.0
2024-07-15,0.0,0.0,0.0
2024-07-22,0.0,0.0,0.0
2024-07-29,0.0,0.0,0.0
2024-08-05,0.0,0.0,0.0
2024-08-12,0.0,0.0,0.0
2024-08-19,0.0,0.0,0.0
2024-08-26,0.0,0.0,0.0
2024-09-02,0.0,0.0,0.0
2024-09-09,0.0,0.0,0.0
2024-09-16,0.0,0.0,0.0
2024-09-23,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0
2024-10-07,0.0,0.0,0.0
2024-10-14,0.0,0.0,0.0
2024-10-21,0.0,0.0,0.0
2024-10-28,0.0,0.0,0.0
2024-11-04,2627.7824762422106,1021.7860425352908,4116.299996342466
2024-11-11,526.5370959665402,39.931722644101505,892.0631422136858
2024-11-18,173.18210666252384,0.44169991726296964,499.4361476394654
2024-11-25,640.1067135432014,460.3309527643115,888.7771891067318
2024-12-02,17519.294540371724,7108.027495544451,27246.616587748278
2024-12-09,36682.54948874892,17557.33535941691,53071.53525971078
2024-12-16,47812.72853710354,26856.750356114353,65219.61033670347
2024-12-23,42146.72469393739,29644.25916993786,53103.31970375449
2024-12-30,51321.726198747696,35082.03457802686,67195.05991793147
2025-01-06,42484.68328763577,32996.08073026819,51924.46817454559
2025-01-13,51401.236214901575,37760.2943842905,66532.63723801322
2025-01-20,95193.58828782855,57829.09857694426,132388.29475377646
2025-01-27,111264.38631051559,72274.10224864309,147307.12965081958
2025-02-03,122080.82125380835,83826.27147687691,158065.62394968903
2025-02-10,158914.1960032302,104923.80680184248,209765.77938722185
2025-02-17,220164.8366044953,140218.53593674928,293476.11028886255
2025-02-24,253578.8680641289,170295.6057699245,328975.5181243653
2025-03-03,226428.41457730046,171310.29507271305,279218.7610403216
2025-03-10,234978.18368047313,178048.46589329588,292954.3300036813
2025-03-17,222784.2521796565,172773.3713061555,274110.3889481638
2025-03-24,268207.56353048683,197009.22668563854,343561.52123675874
2025-03-31,223186.12503667368,176126.6984500714,269636.7349037755
2025-04-07,199071.18077557592,157829.11023106278,239456.85392602743
2025-04-14,231906.75925249123,175692.30863289884,292959.2388569021
2025-04-21,291456.27126508526,208836.9644212451,378973.52812769555
2025-04-28,364212.9870966545,250791.6124731243,478254.2751304851
2025-05-05,287683.29933488567,225507.82843163278,347330.89390151895
2025-05-12,203664.1122524311,162461.6484463169,250639.17079129923
2025-05-19,187744.08036602646,148197.021375804,227260.16940961735
2025-05-26,303047.1647966663,214133.02910954028,404757.51807810826
2025-06-02,206225.8419499747,164634.16659641857,246417.20532895043
2025-06-09,162012.7178409724,128312.47648096201,199645.19076440917
2025-06-16,220291.41231678988,164610.66598737266,283117.68045051454
2025-06-23,153319.270793997,122335.98406729258,185253.0886630078
2025-06-30,121959.79190424184,96141.47325943703,152114.26631852015
2025-07-07,105642.0721671857,82765.66324879802,131397.53330559836
2025-07-14,80490.71840916364,62893.00159549191,107825.66765519865
2025-07-21,82572.36419660482,64410.70300313027,102292.66811731386
2025-07-28,99937.04957952237,75092.46405769857,128864.19892358487
2025-08-04,56836.8579233512,42996.79406418345,76668.78158280987
2025-08-11,43563.62999940418,33641.70465562097,60029.793261904175
2025-08-18,142433.12357998805,83955.40772115203,204608.79498796453
2025-08-25,189755.78174222502,115768.03290314802,255242.72965777587
2025-09-01,216366.35651497907,142186.67995380546,281241.02465462504
2025-09-08,206863.42458065783,150861.36748758983,259174.6698015051
2025-09-15,209151.7027864218,156604.81404223372,261290.98836923364
2025-09-22,206363.66769852833,157829.0011593688,256422.31619808942
2025-09-29,227260.4396489949,170657.96271366888,286524.7005001029
2025-10-06,225708.90085755705,172805.21337722446,280465.9819866975
2025-10-13,212577.8976321741,165230.69652877655,260812.76285707013
2025-10-20,182357.60060829882,144466.30471481287,218909.0303208334
2025-10-27,178239.28776980258,139722.59758014383,218172.23428030123
2025-11-03,174091.37923054257,135862.58359483886,214210.667476812
2025-11-10,178064.4126465198,137373.7680051525,221885.238766893
2025-11-17,166288.1079180068,129898.46679046091,203793.23115308472
2025-11-24,166849.40566971764,129236.65629727654,206856.74964782342
2025-12-01,171021.28898411358,131223.8248747667,213886.95162387812
2025-12-08,169888.7599059925,130770.27092386299,211363.35940550856
2025-12-15,173262.72408868096,132782.9102517399,216538.2695834756
2025-12-22,168903.9954404162,130618.13282453807,209303.4419982149
2025-12-29,161996.51209333472,125992.6418497906,199734.91419118881
2026-01-05,160589.27302063192,124265.1488980841,199051.04826734914
2026-01-12,185374.14202894035,138578.1951929947,236628.67908579053
2026-01-19,197375.7986571167,147633.93927418895,249593.299779157
2026-01-26,203126.6155714289,153410.88120556966,254735.17705638663
2026-02-02,209146.12617572772,158465.7632693316,261662.8653401006
2026-02-09,208398.98153389842,159320.93186439684,259262.12753177568
2026-02-16,204801.21684542744,157952.62425003364,254050.8083982875
2026-02-23,222252.51614289483,167871.28145361145,279152.0669175653
2026-03-02,229820.29509012727,174436.79610536818,287603.73219703045
2026-03-09,240987.77035858633,182127.42907660952,301921.7202053832
2026-03-16,239735.66528936906,183492.8794152901,297730.7630003144
2026-03-23,240979.80809955602,185022.0036947122,298813.2568721966
2026-03-30,241892.50205148503,185840.33406915696,299798.6595827329
