date,meta_android_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,1555.84
2024-11-11,0.0
2024-11-18,0.0
2024-11-25,335.76
2024-12-02,10285.26
2024-12-09,19633.52
2024-12-16,23700.42
2024-12-23,18629.46
2024-12-30,24426.690000000002
2025-01-06,18040.18
2025-01-13,24198.22
2025-01-20,49255.25
2025-01-27,53522.27
2025-02-03,57378.01
2025-02-10,77772.0
2025-02-17,110352.34
2025-02-24,122820.48
2025-03-03,100502.51999999999
2025-03-10,108139.68000000001
2025-03-17,99566.31
2025-03-24,129154.12
2025-03-31,95569.23
2025-04-07,85693.53
2025-04-14,109392.49
2025-04-21,143218.15
2025-04-28,182303.66999999998
2025-05-05,122527.07
2025-05-12,78583.28
2025-05-19,79983.97
2025-05-26,155210.28
2025-06-02,81064.69
2025-06-09,64776.43
2025-06-16,106877.09
2025-06-23,60056.84
2025-06-30,48812.55
2025-07-07,43648.74
2025-07-14,31386.8
2025-07-21,36335.590000000004
2025-07-28,47014.23
2025-08-04,19476.18
2025-08-11,16660.98
2025-08-18,77876.19
2025-08-25,95136.52
2025-09-01,104323.76
2025-09-08,93960.39
2025-09-15,95629.28
2025-09-22,93404.58
2025-09-29,106378.15
2025-10-06,102740.63
2025-10-13,94552.25
2025-10-20,77630.62
2025-10-27,79015.91
2025-11-03,77518.37
2025-11-10,80700.20999999999
2025-11-17,73246.16
2025-11-24,75066.09
2025-12-01,77742.73
2025-12-08,76614.69
2025-12-15,78742.82
2025-12-22,75691.39
2025-12-29,71982.34
2026-01-05,72024.19
2026-01-12,87362.61
2026-01-19,91738.43
2026-01-26,93434.86
2026-02-02,96105.89
2026-02-09,94691.35
2026-02-16,92379.37
2026-02-23,103471.34
2026-03-02,106000.02
2026-03-09,111725.1
2026-03-16,109347.33
2026-03-23,110012.17
2026-03-30,110339.37
