date,meta_ios_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,0.0
2024-11-11,0.0
2024-11-18,0.0
2024-11-25,0.0
2024-12-02,0.0
2024-12-09,2281.61
2024-12-16,3505.6
2024-12-23,9012.73
2024-12-30,14340.77
2025-01-06,13611.59
2025-01-13,26746.67
2025-01-20,28734.48
2025-01-27,31044.18
2025-02-03,34789.67
2025-02-10,62320.19
2025-02-17,69887.99
2025-02-24,86964.8
2025-03-03,86137.15
2025-03-10,86184.3
2025-03-17,90394.92
2025-03-24,88859.58
2025-03-31,98877.3
2025-04-07,92931.26000000001
2025-04-14,89890.19
2025-04-21,109860.62
2025-04-28,117520.52
2025-05-05,119276.74
2025-05-12,140840.83000000002
2025-05-19,129530.95999999999
2025-05-26,111520.89
2025-06-02,93509.34
2025-06-09,88178.97
2025-06-16,50499.31
2025-06-23,45071.5
2025-06-30,25371.87
2025-07-07,434.42
2025-07-14,42380.58
2025-07-21,35386.23
2025-07-28,33632.91
2025-08-04,45533.57
2025-08-11,41775.6
2025-08-18,59768.850000000006
2025-08-25,74873.6
2025-09-01,10514.59
2025-09-08,0.0
2025-09-15,0.0
2025-09-22,0.0
2025-09-29,3232.0699999999997
2025-10-06,19400.19
2025-10-13,19218.17
2025-10-20,23861.15
2025-10-27,24553.33
2025-11-03,25032.010000000002
2025-11-10,24834.16
2025-11-17,25277.2
2025-11-24,23671.07
2025-12-01,23867.26
2025-12-08,17583.88
2025-12-15,16730.96
2025-12-22,16644.77
2025-12-29,16736.420000000002
2026-01-05,15226.34
2026-01-12,23531.03
2026-01-19,25129.86
2026-01-26,15789.51
2026-02-02,17152.71
2026-02-09,18983.15
2026-02-16,22056.11
2026-02-23,23718.58
2026-03-02,27378.34
2026-03-09,28119.25
2026-03-16,23640.260000000002
2026-03-23,29658.54
2026-03-30,29829.89
