date,actual,predicted_mean,predicted_hdi_lo,predicted_hdi_hi
2026-01-05,17470.0,20124.290485635676,19337.501506969,20878.92675727524
2026-01-12,15870.0,20049.325747216713,19256.306876634495,20857.983288556574
2026-01-19,16140.0,20473.04039161452,19640.26540552342,21268.66876258069
2026-01-26,15931.0,20490.613421961032,19653.500920129525,21255.35435819517
2026-02-02,19016.0,20762.13205392262,19969.842476364942,21596.738253079322
2026-02-09,17457.0,20927.7942556863,20110.871557416936,21748.58489191212
2026-02-16,16237.0,20855.042111556308,20051.07121039189,21672.709439840426
2026-02-23,18174.0,21717.133565792392,20714.08173765254,22581.725373654903
2026-03-02,21979.0,22936.300260772703,21826.03615863916,23963.32575565305
2026-03-09,20947.0,23570.642224504325,22426.73607373092,24692.365826692687
2026-03-16,20615.0,23644.907853819775,22438.72413861802,24817.911839657656
2026-03-23,19206.0,23646.91258453453,22391.404326395303,24743.067545704136
2026-03-30,20540.0,23842.575794897446,22560.953681848645,24978.247175049273
