date,actual,predicted_mean,predicted_hdi_lo,predicted_hdi_hi
2026-01-05,3894237.403314303,4161533.120901971,3971122.7570406375,4340214.23404586
2026-01-12,3571816.984877185,4136622.0459857373,3938839.4443442863,4325932.424031952
2026-01-19,3630261.744988974,4233298.353622744,4055179.792722845,4441458.807355923
2026-01-26,3375278.3177659777,4239765.031602785,4055057.5271572955,4428442.696020797
2026-02-02,3869776.646989061,4309860.626217664,4114460.3252878874,4488839.880682944
2026-02-09,3602700.525997656,4343473.877719532,4145430.7907546586,4519312.0324157765
2026-02-16,3334905.851100583,4329899.661730539,4130909.8454237,4496270.144622233
2026-02-23,3909551.130516049,4530060.57767851,4302948.205436362,4726448.220390899
2026-03-02,4852344.034099876,4798324.732035797,4560290.645850062,5045463.906921315
2026-03-09,4521873.698514302,4936224.9218942085,4659598.578279027,5172744.050247874
2026-03-16,4425643.048014345,4941481.7551918905,4664336.6507716235,5202341.910030297
2026-03-23,4083299.7525424752,4939999.836585631,4660832.816852136,5202030.381780169
2026-03-30,4489338.021347384,4993333.0788062,4692024.254317488,5250466.610660097
