date,podcast_spend
2024-07-01,1167.61
2024-07-08,9869.58
2024-07-15,22737.46
2024-07-22,36572.07
2024-07-29,19941.219999999998
2024-08-05,2703.84
2024-08-12,1442.85
2024-08-19,10099.949999999999
2024-08-26,8657.099999999999
2024-09-02,0.0
2024-09-09,1129.44
2024-09-16,8803.220000000001
2024-09-23,14949.77
2024-09-30,18753.73
2024-10-07,14743.220000000001
2024-10-14,19427.280000000002
2024-10-21,22670.64
2024-10-28,16494.96
2024-11-04,21048.649999999998
2024-11-11,27678.98
2024-11-18,28017.79
2024-11-25,19001.989999999998
2024-12-02,24771.06
2024-12-09,32949.03
2024-12-16,35495.51
2024-12-23,45021.05
2024-12-30,33127.26
2025-01-06,12864.380000000001
2025-01-13,29514.28
2025-01-20,39262.44
2025-01-27,70277.42
2025-02-03,64949.06
2025-02-10,53655.35
2025-02-17,44094.39
2025-02-24,46408.7
2025-03-03,71089.52
2025-03-10,64862.94
2025-03-17,59214.29
2025-03-24,64033.43
2025-03-31,57847.270000000004
2025-04-07,31783.9
2025-04-14,23984.989999999998
2025-04-21,29001.39
2025-04-28,31408.420000000002
2025-05-05,29245.46
2025-05-12,22177.399999999998
2025-05-19,27126.02
2025-05-26,43998.66
2025-06-02,42996.38
2025-06-09,50101.52
2025-06-16,56311.97
2025-06-23,58253.97
2025-06-30,58608.21000000001
2025-07-07,50956.8
2025-07-14,18438.95
2025-07-21,29514.29
2025-07-28,56107.64
2025-08-04,48173.8
2025-08-11,27793.170000000002
2025-08-18,32954.93
2025-08-25,47647.4
2025-09-01,44220.93
2025-09-08,28824.309999999998
2025-09-15,26937.35
2025-09-22,39213.8
2025-09-29,38281.32
2025-10-06,18215.44
2025-10-13,7085.03
2025-10-20,30851.079999999998
2025-10-27,37855.98
2025-11-03,26519.440000000002
2025-11-10,29233.56
2025-11-17,43104.37
2025-11-24,42736.8
2025-12-01,17978.11
2025-12-08,21709.38
2025-12-15,43611.520000000004
2025-12-22,54799.72
2025-12-29,31777.59
2026-01-05,3243.8100000000004
2026-01-12,994.26
2026-01-19,6664.28
2026-01-26,14327.85
2026-02-02,19359.29
2026-02-09,18960.13
2026-02-16,28559.61
2026-02-23,29347.5
2026-03-02,40189.83
2026-03-09,47758.45
2026-03-16,34729.96
2026-03-23,36686.21
2026-03-30,54503.96
