date,actual,predicted_mean,predicted_hdi_lo,predicted_hdi_hi
2026-01-05,3894237.403314303,4267064.99434755,4098575.006647735,4460362.797351515
2026-01-12,3571816.984877185,4243783.51688251,4063436.6905246438,4450821.561102344
2026-01-19,3630261.744988974,4347679.949456941,4152989.599610689,4540882.506947365
2026-01-26,3375278.3177659777,4358727.253495854,4183698.2228274527,4559986.7889868785
2026-02-02,3869776.646989061,4435207.341423747,4250083.074926638,4634234.826279545
2026-02-09,3602700.525997656,4473184.478680219,4284004.861959377,4662636.052967619
2026-02-16,3334905.851100583,4462869.703528231,4275706.157783681,4652909.946010667
2026-02-23,3909551.130516049,4673326.764317074,4459140.701178126,4899318.26587735
2026-03-02,4852344.034099876,4953128.949043194,4692341.442560701,5191902.173380385
2026-03-09,4521873.698514302,5099770.472757511,4813655.723161666,5338399.783009837
2026-03-16,4425643.048014345,5109765.275404113,4816445.60377924,5368122.989309318
2026-03-23,4083299.7525424752,5110295.968899993,4815220.776076404,5382442.148279547
2026-03-30,4489338.021347384,5167763.050967577,4854679.096398785,5430251.410429841
