date,actual,predicted_mean,predicted_hdi_lo,predicted_hdi_hi
2026-01-05,17470.0,14485.515323237258,13411.993698743609,15611.690493332868
2026-01-12,15870.0,14017.478927221524,12920.86625840671,15140.757115525617
2026-01-19,16140.0,13553.550148885168,12414.89260281072,14696.822400713823
2026-01-26,15931.0,13016.992156923738,11763.69827993054,14161.489593020058
2026-02-02,19016.0,13709.980989334985,12636.986398519122,14878.071802404485
2026-02-09,17457.0,14562.010578468005,13437.820056483526,15725.125900461695
2026-02-16,16237.0,14738.747165262837,13290.36668535082,16020.659841978877
2026-02-23,18174.0,17026.062231619362,15194.581371477283,18927.3431540738
2026-03-02,21979.0,20767.639433317156,18084.267087833636,23693.356261085843
2026-03-09,20947.0,22486.491977646012,18923.90565492074,26112.076155686147
2026-03-16,20615.0,24113.133289839916,19546.127790497674,29179.184867692635
2026-03-23,19206.0,25333.36187765652,19404.42246545592,31631.680451723107
2026-03-30,20540.0,25649.409291050935,19371.7306275111,32745.955939184838
