date,mean,lo95,hi95
2024-07-01,0.0,0.0,0.0
2024-07-08,0.0,0.0,0.0
2024-07-15,0.0,0.0,0.0
2024-07-22,0.0,0.0,0.0
2024-07-29,0.0,0.0,0.0
2024-08-05,0.0,0.0,0.0
2024-08-12,0.0,0.0,0.0
2024-08-19,0.0,0.0,0.0
2024-08-26,0.0,0.0,0.0
2024-09-02,0.0,0.0,0.0
2024-09-09,0.0,0.0,0.0
2024-09-16,0.0,0.0,0.0
2024-09-23,0.0,0.0,0.0
2024-09-30,0.0,0.0,0.0
2024-10-07,0.0,0.0,0.0
2024-10-14,0.0,0.0,0.0
2024-10-21,0.0,0.0,0.0
2024-10-28,0.0,0.0,0.0
2024-11-04,0.0,0.0,0.0
2024-11-11,0.0,0.0,0.0
2024-11-18,0.0,0.0,0.0
2024-11-25,0.0,0.0,0.0
2024-12-02,0.0,0.0,0.0
2024-12-09,0.0,0.0,0.0
2024-12-16,25446.961496310174,11771.240687067087,35893.696522793085
2024-12-23,44819.69940669625,25582.060092895503,59931.994398785944
2024-12-30,49474.56856411087,33734.20497718729,63513.928623960885
2025-01-06,67129.94088483536,46207.456106340454,86799.55667938951
2025-01-13,80620.12111829154,57376.7783013484,103016.52958815092
2025-01-20,82457.55339518374,61359.28416100262,103989.69220050918
2025-01-27,98633.76895128515,72507.02988068145,125101.85036967965
2025-02-03,103264.50239615401,77827.58887152138,129688.05592152453
2025-02-10,103285.58829093797,79219.90617889402,129030.75680306571
2025-02-17,109575.829150739,83993.90390020354,136977.52534319973
2025-02-24,120363.2632449137,91511.49215219411,150803.75703150767
2025-03-03,138743.32977702105,104215.28513319598,174626.18649341218
2025-03-10,186607.10674462974,134343.31663004812,237530.72322792673
2025-03-17,196072.5798163318,146987.78603857348,245034.63594753848
2025-03-24,212025.865639149,160210.87919640538,263914.39536578965
2025-03-31,223061.69896850595,169963.01744869346,276151.21666642645
2025-04-07,233285.15627659264,178927.944745006,288065.42981355253
2025-04-14,248016.05766566042,190676.56686785442,306503.9313819934
2025-04-21,253462.98756542028,195617.9919631087,311873.13856168
2025-04-28,258171.86211274157,199529.44257226665,317059.0232393319
2025-05-05,273754.10900661,211273.81362492515,335987.8287991738
2025-05-12,288071.9990581705,222516.62640355944,352898.42516812246
2025-05-19,284389.3529773005,219933.45806015548,346916.12181091006
2025-05-26,297219.1202498036,230068.52152568093,363358.05295017426
2025-06-02,290214.37615431746,224629.842977747,353989.97200818756
2025-06-09,272894.30721902254,211826.29953900736,332415.56772504013
2025-06-16,245471.36357926863,190026.21960127403,300721.847686015
2025-06-23,223620.88530097317,172739.76479651855,276095.02338745666
2025-06-30,267753.4552702902,206170.24397563038,330886.70379575825
2025-07-07,280858.4280610969,216825.07939430367,344921.70563886844
2025-07-14,303232.5970545825,233601.48673498572,371443.29436770704
2025-07-21,364166.8858953963,274857.2857096665,448593.89767432096
2025-07-28,360392.0288998753,278742.2716979793,440074.5381017278
2025-08-04,332056.5102100702,258062.32905866977,402942.76722981
2025-08-11,375267.0418537276,289039.23176851386,458622.74067319854
2025-08-18,364779.6565216508,282579.22036500566,443585.5458245539
2025-08-25,347312.2947470597,270235.4618253804,421655.9482766299
2025-09-01,322072.3960741615,250137.81035531196,390455.26807329187
2025-09-08,307100.7818316852,238588.98690677082,371935.6412928487
2025-09-15,311725.13301790913,241659.8648991655,378846.26560166024
2025-09-22,291796.00254933274,226662.44460263723,354396.48038830183
2025-09-29,304007.6695217524,235770.57164783293,370666.6097043947
2025-10-06,296815.6976370967,230296.99531973846,361442.1439215206
2025-10-13,362809.9762618492,276893.2873313417,445753.1763327983
2025-10-20,384644.4392592108,296129.6512741976,470628.15302696626
2025-10-27,371922.8110957099,288631.6682426376,452663.7236853404
2025-11-03,377992.42675233487,292741.6608658324,460115.5131088126
2025-11-10,382430.2675165756,296148.57478113804,465639.40974535444
2025-11-17,402380.8576927628,310604.44463404565,490960.31064855563
2025-11-24,399471.2858240116,309470.87473626644,485862.6260933388
2025-12-01,365316.16694309,284689.08731852775,442374.72374766273
2025-12-08,397062.6363165025,306593.564142873,483832.2834690608
2025-12-15,400434.5950407804,309816.0293437499,487405.4196424455
2025-12-22,353684.8097475793,275964.23073904385,428971.04735691496
2025-12-29,357537.65190829465,277072.31005612604,433562.3882681326
2026-01-05,345315.9868505403,268054.31548407284,418836.3296047357
2026-01-12,352773.11430131085,273097.1827181797,428655.4854116985
2026-01-19,369044.6840310851,285414.19178596,448786.3874563881
2026-01-26,331008.0362808794,257645.79047673795,401100.13132384844
2026-02-02,323034.0363485029,250731.29827567708,391916.5693223425
2026-02-09,339773.46391895023,262909.13388165267,412771.58775401517
2026-02-16,321037.213754529,249607.89082225293,389411.27151708095
2026-02-23,338629.9798981972,261901.12331428533,411433.34384912776
2026-03-02,470013.97787153133,345192.70894195174,590362.1485526881
2026-03-09,530787.8879401899,390272.67921230634,663234.8078886215
2026-03-16,544632.7804231406,410288.19575299986,675415.9897043057
2026-03-23,545873.0949918799,413277.114274034,674013.2600745029
2026-03-30,541433.9787713272,411751.2298694662,666598.7017089835
