date,tiktok_web_spend
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,0.0
2024-11-11,0.0
2024-11-18,0.0
2024-11-25,0.0
2024-12-02,0.0
2024-12-09,0.0
2024-12-16,19612.350000000002
2024-12-23,31772.29
2024-12-30,32892.13
2025-01-06,45630.29
2025-01-13,53917.3
2025-01-20,53518.03
2025-01-27,65529.45
2025-02-03,67183.39
2025-02-10,66399.61
2025-02-17,71111.57
2025-02-24,78731.04000000001
2025-03-03,91749.79
2025-03-10,127087.06
2025-03-17,128889.89
2025-03-24,139674.03
2025-03-31,146227.72
2025-04-07,152718.9
2025-04-14,163018.54
2025-04-21,165425.14
2025-04-28,168257.43
2025-05-05,180099.67
2025-05-12,189766.75999999998
2025-05-19,184835.85
2025-05-26,195378.58
2025-06-02,188123.58
2025-06-09,174669.07
2025-06-16,154612.22
2025-06-23,140538.38
2025-06-30,178879.96
2025-07-07,184952.78
2025-07-14,201209.59
2025-07-21,248682.77000000002
2025-07-28,237897.76
2025-08-04,213740.66999999998
2025-08-11,252699.64
2025-08-18,239019.9
2025-08-25,225135.37
2025-09-01,206308.31
2025-09-08,197225.12
2025-09-15,203234.06
2025-09-22,186819.9
2025-09-29,199153.9
2025-10-06,192242.31
2025-10-13,247494.96
2025-10-20,258166.25
2025-10-27,243896.63
2025-11-03,249848.55000000002
2025-11-10,252787.6
2025-11-17,268956.41
2025-11-24,263941.26
2025-12-01,235161.19
2025-12-08,265904.57999999996
2025-12-15,265453.34
2025-12-22,225448.3
2025-12-29,234084.41999999998
2026-01-05,224122.66999999998
2026-01-12,231934.53
2026-01-19,244902.23
2026-01-26,211335.82
2026-02-02,209041.78
2026-02-09,224295.33000000002
2026-02-16,207137.7
2026-02-23,223705.19
2026-03-02,333737.57
2026-03-09,371588.66
2026-03-16,374278.49
2026-03-23,371867.1
2026-03-30,366754.42
