channel,recent_median_spend,marg_icac_point,icac_lo95,icac_hi95,rank_icac,marg_iroas_point,iroas_lo95,iroas_hi95,rank_iroas
apple_search,56446.0,433.87,45.75,5562.25,15,0.4797,0.0002,2.0061,15
applovin_android,52817.0,481.84,43.73,6483.81,16,0.4319,0.0005,1.9616,16
applovin_ios,46443.0,388.98,33.54,5511.52,13,0.535,0.0003,2.2876,13
ctv,76837.0,152.07,90.94,324.53,8,1.3686,0.5372,2.1007,8
dsp,16941.0,236.16,23.16,4075.82,10,0.8813,0.0001,3.6039,10
google_android,131162.0,1001.38,70.53,14060.66,18,0.2078,0.0001,0.8758,18
google_ios,18278.0,210.28,19.43,3253.04,9,0.9897,0.0001,4.0257,9
google_web,71189.0,406.38,48.15,5413.37,14,0.5121,0.0006,1.9413,14
influencer,4414.0,63.91,8.55,829.89,1,3.2567,0.0014,11.6648,1
liftoff,10227.0,94.59,12.43,1239.36,3,2.2002,0.008,8.2003,3
linear_tv,99189.0,540.26,39.84,8798.59,17,0.3852,0.0001,1.552,17
meta_android,84031.0,97.46,74.63,131.42,4,2.1354,1.5202,2.6977,4
meta_ios,23656.0,131.73,103.64,160.42,6,1.5799,1.2375,1.9054,6
meta_web,445635.0,309.32,224.87,580.5,12,0.6728,0.3466,0.8955,12
others,0.0,,,,,,,,
podcast,29291.0,67.39,11.99,696.36,2,3.0881,0.0028,8.8476,2
tiktok_android,34109.0,125.54,92.86,189.65,5,1.6578,1.0813,2.2108,5
tiktok_ios,103741.0,305.02,241.98,411.95,11,0.6823,0.4936,0.8471,11
tiktok_web,246199.0,145.61,109.85,214.16,7,1.4293,0.9092,1.8215,7
